Aspect,BSI,Elevation,NBR,NDMI,NDVI,NDWI,SAVI,SinAspect,Slope,PA,POINT_X,POINT_Y,PcentBgrnd,PcentOther,PointID,Class,Class_Number
61.84036,7653,1537,-0.026018303,-0.170157468,0.07103394,-0.224729242,1.071033938,0.881636097,7.812481,1,-111.807233,36.589064,100,0,1204,Bareground,1
148.09248,8101,1580,-8.03E-04,-0.131090325,0.076257996,-0.198536491,1.076257998,0.528549704,8.67374,1,-111.95577,36.577681,100,0,1203,Bareground,1
159.0018,8833,1045,-0.122401126,-0.222868217,0.07076102,-0.186892178,1.070761015,0.358338611,36.063908,1,-111.857195,36.25298,90,10,868,Bareground,1
161.59778,8985,1052,-0.111519045,-0.214816818,0.07257618,-0.199009083,1.072576177,0.31568583,34.971508,1,-111.857421,36.25299,90,10,870,Bareground,1
161.59778,8621,1052,-0.110491244,-0.200668431,0.07390084,-0.192851205,1.073900842,0.31568583,34.971508,1,-111.857651,36.252982,90,10,872,Bareground,1
96.57159,8989,1080,-0.139634146,-0.22864562,0.08789514,-0.204438754,1.087895143,0.993429642,15.795828,1,-111.858104,36.253334,90,10,874,Bareground,1
327.62457,8875,1087,-0.134462599,-0.211740614,0.05596196,-0.188554961,1.05596196,-0.535464634,68.58116,1,-111.85829,36.253153,90,10,875,Bareground,1
96.57159,8585,1080,-0.151155718,-0.212027103,0.029129794,-0.10952097,1.029129794,0.993429642,15.795828,1,-111.857887,36.253166,90,10,871,Bareground,1
170.69856,8833,1076,-0.101940253,-0.204691122,0.06287589,-0.179373104,1.062875888,0.161628578,41.003136,1,-111.857643,36.253153,90,10,862,Bareground,1
170.69856,8947,1076,-0.130028627,-0.215595707,0.04431181,-0.159437751,1.04431181,0.161628578,41.003136,1,-111.857635,36.253352,90,10,865,Bareground,1
154.94078,9059,1105,-0.104756079,-0.214965804,0.08447573,-0.203536184,1.084475732,0.423554771,47.467354,1,-111.857415,36.253564,90,10,866,Bareground,1
170.69856,8987,1076,-0.103032178,-0.215744623,0.07589534,-0.193740992,1.075895342,0.161628578,41.003136,1,-111.857418,36.253157,90,10,863,Bareground,1
170.69856,9027,1076,-0.101671939,-0.204375667,0.05857295,-0.178423237,1.05857295,0.161628578,41.003136,1,-111.857399,36.253341,90,10,864,Bareground,1
152.67491,8917,1066,-0.071919377,-0.189383836,0.086327076,-0.198816568,1.086327078,0.459038616,41.17309,1,-111.85719,36.253378,90,10,867,Bareground,1
130.82814,8979,1549,-0.061662198,-0.202947086,0.116951376,-0.282880552,1.11695138,0.756674043,48.716843,1,-112.13836,36.129654,90,10,731,Bareground,1
101.03202,7615,1414,-0.082959204,-0.236966055,0.11353401,-0.226631854,1.113534013,0.981520394,30.632349,1,-112.136781,36.12895,90,10,729,Bareground,1
93.69704,7631,1414,-0.123220821,-0.277963831,0.136831,-0.222568755,1.136831004,0.997918954,26.661066,1,-112.136778,36.129134,90,10,728,Bareground,1
90,7635,1428,-0.107631318,-0.258197397,0.113529555,-0.224367691,1.113529557,1,27.52365,1,-112.137001,36.12895,90,10,730,Bareground,1
143.39847,8597,1157,-0.122253721,-0.268890201,0.104324564,-0.223814229,1.104324565,0.596246341,16.828545,1,-112.181206,36.113014,90,10,739,Bareground,1
133.30432,8779,1172,-0.100068776,-0.253032682,0.102358885,-0.218342644,1.102358888,0.727721031,33.45862,1,-112.181439,36.113198,90,10,738,Bareground,1
128.9331,8893,1189,-0.094326955,-0.244786564,0.105058365,-0.219435028,1.105058366,0.777880182,39.4992,1,-112.181667,36.11338,90,10,737,Bareground,1
119.87638,7923,1272,-0.108824555,-0.215896885,0.10058152,-0.197843413,1.100581521,0.867102167,46.120712,1,-112.184111,36.112817,90,10,740,Bareground,1
138.94186,8769,1243,-0.094789082,-0.2315686,0.09177973,-0.208747515,1.091779729,0.656824468,30.098072,1,-112.183878,36.112626,90,10,741,Bareground,1
139.09125,9287,1204,-0.14753587,-0.259048394,0.07662005,-0.191628515,1.076620051,0.654856269,32.724045,1,-112.182099,36.113372,90,10,736,Bareground,1
141.17987,9039,1201,-0.119673469,-0.252771619,0.087974176,-0.207074099,1.087974173,0.626877573,22.56489,1,-112.182563,36.113008,90,10,732,Bareground,1
153.65833,9407,1195,-0.107142857,-0.229161223,0.08836008,-0.213742028,1.088360081,0.443723144,28.453358,1,-112.182778,36.112823,90,10,733,Bareground,1
136.32132,9797,1223,-0.06206089,-0.209181785,0.087576374,-0.210884354,1.087576375,0.690613349,38.075058,1,-112.183215,36.113172,90,10,734,Bareground,1
119.77962,9287,1177,-0.084225667,-0.236915701,0.09728073,-0.218889598,1.097280735,0.867942194,28.989944,1,-112.181871,36.112826,90,10,735,Bareground,1
155.09772,8475,1108,-0.065410959,-0.216592508,0.09686495,-0.216674097,1.096864952,0.42107195,15.936851,1,-112.199292,36.11987,90,10,743,Bareground,1
156.39813,8477,1164,-0.085132526,-0.238568298,0.11605996,-0.219181287,1.116059957,0.400378903,16.715717,1,-112.201323,36.120396,90,10,744,Bareground,1
151.55971,8415,1118,-0.144978652,-0.292581785,0.094061755,-0.198231009,1.094061758,0.47624269,16.412481,1,-112.199756,36.120234,90,10,742,Bareground,1
308.93152,6535,1061,-0.100412058,-0.223511793,0.0924414,-0.201970443,1.092441401,-0.777897587,7.3394756,1,-112.221064,36.117679,90,10,747,Bareground,1
140.46794,6477,1064,-0.115135256,-0.241471828,0.087661445,-0.178326883,1.087661445,0.636509868,3.6029015,1,-112.221061,36.11751,90,10,746,Bareground,1
162.80376,6393,1063,-0.106974658,-0.232459522,0.0933553,-0.183006536,1.093355299,0.295645415,3.877637,1,-112.22083,36.117677,90,10,745,Bareground,1
221.63441,4149,1711,0.062308478,-0.141678129,0.14705883,-0.270358306,1.147058824,-0.664375257,55.428745,1,-112.266131,36.298355,90,10,715,Bareground,1
227.55891,5055,1730,0.04064588,-0.149874915,0.16231343,-0.264546685,1.162313433,-0.73797162,54.75604,1,-112.265684,36.298,90,10,714,Bareground,1
185.06528,4463,2104,0.090214067,-0.021276596,0.1469169,-0.353797468,1.14691689,-0.088290651,24.467178,1,-112.262041,36.306874,90,10,709,Bareground,1
200.41916,4555,2136,0.060913706,-0.043040293,0.15821557,-0.349257586,1.158215572,-0.348885442,19.058107,1,-112.262042,36.307421,90,10,710,Bareground,1
169.52876,6717,2181,0.05125448,-0.067705022,0.17226219,-0.302108768,1.17226219,0.181741903,57.127975,1,-112.260504,36.307969,90,10,708,Bareground,1
209.94821,4377,2144,0.140444015,0.038224956,0.16375276,-0.359217716,1.16375277,-0.499217016,27.614244,1,-112.261835,36.307784,90,10,711,Bareground,1
203.04839,6959,2276,0.064737243,-0.108986616,0.28758922,-0.328266033,1.287589224,-0.391508345,31.621534,1,-112.263201,36.309571,90,10,707,Bareground,1
107.86462,4523,2050,0.06856591,-0.010949721,0.09880834,-0.363524338,1.098808342,0.951784034,32.342953,1,-112.29893,36.314962,90,10,712,Bareground,1
132.04166,6691,1967,-0.012345679,-0.117941864,0.16762495,-0.328970551,1.167624945,0.742658142,48.64609,1,-112.295341,36.313007,90,10,713,Bareground,1
180,6505,1056,-0.123448432,-0.252358037,0.068206824,-0.157675112,1.068206821,1.22E-16,1.8543341,1,-112.311873,36.251639,90,10,716,Bareground,1
102.839066,5157,907,-0.032042085,-0.120573539,0.09612781,-0.210164425,1.096127809,0.974998071,43.441402,1,-112.405179,36.248881,90,10,1072,Bareground,1
127.294914,5309,889,-0.042596349,-0.111111111,0.10108865,-0.220338983,1.101088647,0.795527267,42.250374,1,-112.4052,36.248703,90,10,1075,Bareground,1
127.294914,5587,889,-0.032131148,-0.115814696,0.08476237,-0.217152281,1.084762371,0.795527267,42.250374,1,-112.405157,36.248548,90,10,1076,Bareground,1
144.9749,7817,931,-0.096387729,-0.221944358,0.057573825,-0.167174678,1.057573826,0.573935244,24.44924,1,-112.406761,36.248318,90,10,1058,Bareground,1
143.76909,8795,918,-0.109017497,-0.248367868,0.08836827,-0.195755249,1.08836827,0.591040939,23.82138,1,-112.406246,36.248349,90,10,1059,Bareground,1
132.08942,8167,902,-0.099714081,-0.237013479,0.095932126,-0.217202223,1.09593213,0.742099667,34.067013,1,-112.40564,36.248517,90,10,1077,Bareground,1
127.294914,6655,889,-0.066056506,-0.172863436,0.08156682,-0.217008037,1.08156682,0.795527267,42.250374,1,-112.405415,36.248548,90,10,1078,Bareground,1
127.294914,6241,889,-0.075250836,-0.170448153,0.09072978,-0.221761944,1.090729783,0.795527267,42.250374,1,-112.40535,36.248712,90,10,1071,Bareground,1
102.839066,6065,907,-0.099428069,-0.194094488,0.08622977,-0.204471904,1.086229769,0.974998071,43.441402,1,-112.405388,36.248911,90,10,1074,Bareground,1
132.08942,8259,902,-0.093244194,-0.231549128,0.09752981,-0.212135466,1.097529813,0.742099667,34.067013,1,-112.405629,36.248708,90,10,1079,Bareground,1
140.42085,8801,924,-0.146990534,-0.296509059,0.10992331,-0.203629032,1.109923309,0.637143521,29.55646,1,-112.406026,36.248695,90,10,1052,Bareground,1
135.60966,8983,938,-0.082686912,-0.235593453,0.09841897,-0.221538462,1.098418972,0.69954281,23.287573,1,-112.406037,36.248846,90,10,1051,Bareground,1
72.92198,5705,902,-0.086352244,-0.174557431,0.09264305,-0.197014925,1.092643052,0.955905754,41.41056,1,-112.405409,36.249045,90,10,1073,Bareground,1
85.14782,7597,973,-0.103296703,-0.257322522,0.12228057,-0.212317666,1.12228057,0.996416239,20.944656,1,-112.406788,36.249387,90,10,1062,Bareground,1
101.39879,8143,948,-0.138809114,-0.288403734,0.10597492,-0.212725802,1.10597492,0.980275354,18.140196,1,-112.406504,36.249214,90,10,1061,Bareground,1
125.43475,8989,972,-0.086546417,-0.239145417,0.10245656,-0.222050033,1.102456561,0.814776276,22.724487,1,-112.40674,36.249049,90,10,1048,Bareground,1
144.47562,9029,958,-0.088007896,-0.239193084,0.09890981,-0.222491731,1.098909812,0.581049369,33.27958,1,-112.40674,36.248868,90,10,1049,Bareground,1
139.55257,8865,942,-0.109140518,-0.258481192,0.09747899,-0.214883721,1.097478992,0.648750134,18.795837,1,-112.406498,36.248868,90,10,1047,Bareground,1
101.39879,8931,948,-0.085467243,-0.237804878,0.108200684,-0.217352811,1.108200685,0.980275354,18.140196,1,-112.406278,36.249071,90,10,1060,Bareground,1
86.45021,8859,943,-0.100634322,-0.256203034,0.1034918,-0.205699839,1.103491796,0.998081371,14.651898,1,-112.406074,36.249084,90,10,1050,Bareground,1
139.55257,8843,942,-0.077663458,-0.228162755,0.106069654,-0.22395948,1.106069652,0.648750134,18.795837,1,-112.40631,36.248859,90,10,1054,Bareground,1
148.20132,8893,932,-0.157442235,-0.308133549,0.10969568,-0.205226749,1.109695683,0.526936149,24.565977,1,-112.406343,36.248669,90,10,1053,Bareground,1
